trading_name,legal_business_name,licence_type,cca_code,address,administering_port
Keinzley Brewery,Grant Thomas Keinzley,Manufacturing Area,12304J,"UOAD, 2 Gloag Street, Waverley",New Plymouth
Kereru Brewing Company Limited,Kereru Brewing Company Limited (Kereru Brewing Company Limited),Manufacturing Area,8296B,"Unit A, 415 Maidstone Terrace, Maidstone, Upper Hutt",Wellington
Kombucha Bros,Renegade Industry Group Limited (Kombucha Bros),Manufacturing Area,10222K,"93 Beatty Street, Annesbrook, Nelson",Nelson
Lads Brewing Company Limited,Lads Brewing Company Limited,Manufacturing Area,9929F,"1 Taylor Street, Durie Hill, Whanganui",New Plymouth
Lake Man Brewing Limited,Lake Man Brewing Company,Manufacturing Area,8507D,"404 Tukairangi Road, Taupo",Napier
Laughing Bones Brewing Co,Laughing Bones Brewing Company Limited,Manufacturing Area,9353L,"Unit D, 32 Forge Road, Silverdale, Auckland",Auckland
Liberty Brewing Company Limited,Liberty Brewing Company Limited,Manufacturing Area,8268G,"Units M & N, 69 Mill Road, Helensville, Auckland",Auckland
Lion NZ Limited (Speights Brewery),Lion NZ Limited (Speight's Brewery),Manufacturing Area,12800H,"200 Rattray Street, Dunedin",Dunedin
Lumberjack Brewing Co Limited,Lumberjack Brewing Co Limited,Manufacturing Area,10765E,"90 Pukehina Beach Road, Pukehina",Tauranga
Martinborough Brewery,Brutos Limited,Manufacturing Area,13196C,"10 Ohio Street, Martinborough",Wellington
Mates Brewery Limited,Mates Brewery Limited,Manufacturing Area,15122L,"20 Awatoto Road, Meeanee, Napier",Napier
McCashins Brewery,McCashin's Brewery Limited (McCashin's Brewery),Manufacturing Area,8124J,"660 Main Road, Stoke, Nelson",Nelson
McCashins Brewery,McCashin's Brewery Limited (McCashin's Brewery),Off-site Storage Area,11898C,"20 Nile Road, Mahana, Upper Moutere",Nelson
McLeod's Brewery Limited,McLeod's Brewery Limited,Manufacturing Area,9017E,"2 Cove Road, Waipu",Auckland
McLeod's Brewery Limited,McLeod's Brewery Limited (Brewery),Off-site Storage Area,14194B,"Unit 2, Mt Tiger Commercial Centre, Marsden Bay Drive, Marsden Point",Auckland
Mean Doses Brewery & Fillery,K&D Sessions Limited (Mean Doses - Brewery & Fillery),Manufacturing Area,14085G,"130 Tory Street, Te Aro, Wellington",Wellington
Meenans Liquorland,Samgan Limited (Meenans Liquorland),Manufacturing Area,10270K,"750 Great King Street, Dunedin",Dunedin
Moa Brewing Co,Moa Brewing Company Limited (Moa Brewing Co),Manufacturing Area,9942C,"258 Jacksons Road, Rapaura, Blenheim",Nelson
Mothership Brewing,M 7 Limited (Mothership Brewing),Manufacturing Area,13347H,"379 Victoria Avenue, Whanganui",New Plymouth
Mythica Brewing Limited,Mythica Brewing Limited,Manufacturing Area,9387E,"Unit 4, 48 Ellice Road, Wairau Valley, Auckland",Auckland
Neck of the Woods Beer Co Limited,Neck of the Woods Beer Co Limited,Manufacturing Area,12990K,"50 Taitimu Road, Omanawa",Tauranga
Neilson Brewery Limited,Neilson Brewery Limited,Manufacturing Area,14724K,"Unit 14, 27 Blenheim Street, Maidstone, Upper Hutt",Wellington
No.19 Brewing Company Limited,No.19 Brewing Company Limited,Manufacturing Area,12823G,"3 Kawharu Street, Marshland, Christchurch",Christchurch
No.19 Brewing Company Limited,No.19 Brewing Company Limited,Off-site Storage Area,11903C,"1 Kawharu Street, Marshland, Christchurch",Christchurch
Noisy Brewing Co Limited,Noisy Brewing Company Limited,Manufacturing Area,12689G,"53 Castle Street, Dunedin Central, Dunedin",Dunedin
North End Brewery Limited,North End Brewery Limited,Off-site Storage Area,9403L,"Unit 3, 18 Omahi Street, Waikanae",Wellington
North End Brewery Limited,North End Brewery Limited,Manufacturing Area,9147C,"11 Ngaio Road Waikanae, Waikanae",Wellington
Ohakune Brewers Limited,Ohakune Brewers Limited,Manufacturing Area,11116D,"17 Goldfinch Street, Ohakune",New Plymouth
Pacific Brew Limited,Pacific Brew Limited (Hallertau Brewery),Manufacturing Area,7758F,"1171 Riverhead - Coatesville Highway, Riverhead, Kumeu, Auckland",Auckland
Pacific Brew Limited,Pacific Brew Limited,Manufacturing Area,12336G,"26 Clevedon - Kawakawa Highway, Clevedon, Auckland",Auckland
Papamoa Community Project Limited,Papamoa Community Project Limited,Manufacturing Area,9973C,"20 Domain Road, Papamoa",Tauranga
Park Kitchen,Once Around Limited (Park Kitchen),Manufacturing Area,9430H,"6 Park Road, Miramar, Wellington",Wellington
Parrot Dog Brewing Limited,Parrot Dog Brewing Limited,Manufacturing Area,9381F,"60-66 Kingsford Smith Street, Rongotai, Wellington",Wellington
Phat House Limited,Phat House Limited (Phat House Brewery),Manufacturing Area,9322L,"Unit 9, 32 Klinac Lane, Waipapa",Auckland
Renegade Brewing Co Limited,Renegade Brewing Co Limited,Manufacturing Area,13372J,"Unit 2, 105 Orbell Street, Sydenham, Christchurch",Christchurch
Rhyme & Reason Brewery Limited,Rhyme and Reason Brewery Limited,Manufacturing Area,9340J,"17 Gordon Road, Wanaka",Dunedin
Rhyme and Reason Brewery Limited,Rhyme and Reason Brewery Limited,Off-site Storage Area,10667E,"Unit 10A, 80 Ballantyne Road, Wanaka",Dunedin
Roosters Brewhouse,Mahura Brewing Limited,Manufacturing Area,11954H,"1470 Omahu Road, Hastings",Napier
Roots Brewing Co Limited,Roots Brewing Company Limited,Manufacturing Area,13941G,"43 State Highway 3, Whanganui",New Plymouth
Ruapehu Brewing Company,Ruapehu Brewing Limited,Manufacturing Area,10833C,"27 Goldfinch Street, Ohakune",New Plymouth
Saddle Hill Brewery & Distillery Limited,Saddle Hill Brewery & Distillery Limited,Manufacturing Area,13554C,"116 Scurr Road, Saddle Hill, Dunedin",Dunedin
Saint Leonards Brewing Limited,Saint Leonards Brewing Limited,Manufacturing Area,10130D,"394 New North Road, Kingsland, Auckland",Auckland
Scott's Brewing Limited,Scott's Brewing Limited (Scott's Brewing Co.),Manufacturing Area,8876F,"1 Wansbeck Street, South Hill, Oamaru",Dunedin
Searchlight Brewery,"Searchlight Brewery, Queenstown Central Brewing Limited, trading as (Brewery)",Manufacturing Area,13631L,"12 Industrial Place, Queenstown",Dunedin
Shakespeare Hotel & Brewery,Shakespeare New Zealand Limited (Shakespeare Hotel and Brewery),Manufacturing Area,10275L,"61 Albert Street, Auckland",Auckland
Shining Peak Brewing,Shining Peak Brewing Limited,Off-site Storage Area,13865H,"137 Devon Street East, New Plymouth",New Plymouth
Shining Peak Brewing,Shining Peak Brewing Limited,Off-site Storage Area,10517B,"44 Waitara Road, Brixton, Waitara",New Plymouth
Shining Peak Brewing,Shining Peak Brewing Limited,Manufacturing Area,10871F,"59 Gill Street, New Plymouth",New Plymouth
Ship Hop Brewing 2024 Limited,Ship Hop Brewing 2024 Limited,Manufacturing Area,12792C,"7 Strathallen, Street, Timaru",Christchurch
Shortjaw Brewing Limited,Shortjaw Brewing Limited,Manufacturing Area,12508D,"10 Lyndhurst Street, Westport",Christchurch
Somerset Brewing Company Limited,Somerset Brewing Company Limited,Manufacturing Area,8430B,"Unit A, 32 Somerset Street, Hamilton",Tauranga
Somerset Brewing Company Limited,Somerset Brewing Company Limited,Manufacturing Area,9882F,"39, 43-45A King Street, Frankton, Hamilton",Tauranga
South Face Brewing Limited,South Face Brewing Limited,Manufacturing Area,12507F,"27 Alford Street, Methven",Christchurch
Southpaw Brewing Company Limited,Southpaw Brewing Company Limited,Manufacturing Area,14425J,"Shop 34, Brighton Mall, New Brighton, Christchurch",Christchurch
Sprig & Fern Brewery,Sprig & Fern Limited (Sprig & Fern Brewery),Manufacturing Area,7866C,"53 Beach Road, Richmond",Nelson
Sprig & Fern Brewery,Sprig & Fern Limited (Sprig & Fern Brewery),Manufacturing Area,9382D,"53A Beach Road, Richmond",Nelson
Station Brewing,Radritz Brewing Company Limited,Manufacturing Area,10361G,"50 Boundary Road, Alexandra",Dunedin
Steam Brewing Company Limited,Steam Brewing Company Limited,Manufacturing Area,7676H,"186 James Fletcher Drive, Otahuhu, Auckland",Auckland
Steamer Basin Brewing Limited,Steamer Basin Brewing Limited (Steamer Basin),Manufacturing Area,13490C,"389 Princes Street, Dunedin",Dunedin
Steamer Basin Brewing Limited,Steamer Basin Brewing Limited (Steamer Basin),Off-site Storage Area,13682E,"373 Princes Street, Dunedin",Dunedin
Te Aro Brewing Company Limited,Te Aro Brewing Company Limited,Manufacturing Area,12653F,"Unit 14A, 27 Blenheim Street, Upper Hutt",Wellington
Test Lab Brewery Limited,Test lab Brewery Limited,Manufacturing Area,14054G,"28D Acheron Drive, Middleton, Christchurch",Christchurch
Thames Brewing Co,Coastal Plumbing & Drainage Limited (Thames Brewing Co),Manufacturing Area,13114J,"300 Cochrane Street, Thames",Tauranga
The Beer Engine,The Beer Engine Limited,Manufacturing Area,14101B,"31 Whitehouse Road, Titahi Bay, Porirua",Wellington
The Brew Moon Brewing Company Limited,The Brew Moon Brewing Co Limited (The Brew Moon),Manufacturing Area,7532K,"12 Markham Street, Amberley",Christchurch
The Browns Bay Brewery Limited,The Browns Bay Brewery Limited,Manufacturing Area,14203E,"111 Clyde Road, Browns Bay, Auckland",Auckland
The Coromandel Brewing Company Limited,The Coromandel Brewing Company Limited,Manufacturing Area,8162A,"7 Grange Road, Hahei",Tauranga
The Croucher Brewing Company Limited,The Croucher Brewing Company Limited,Manufacturing Area,7780B,"166 Lake Road, Rotorua",Tauranga
The Emerson Brewing Co Limited,The Emerson Brewing Company Limited,Manufacturing Area,9242J,"70 Anzac Avenue, Dunedin",Dunedin
The Fiordland Beer Company Limited,The Fiordland Beer Company Limited,Manufacturing Area,11543G,"472B Te Anau-Milford Highway, Te Anau",Dunedin
The Galbraith Brewing Company Limited,The Galbraith Brewing Company Limited,Manufacturing Area,2155F,"2 Mount Eden Road, Grafton, Auckland",Auckland
The Laboratory Lincoln (2023) Limited,The Laboratory Lincoln Limited,Manufacturing Area,11859B,"17 West Belt, Lincoln",Christchurch
The Mussel Inn,Mussel Inn Limited (The Mussel Inn),Manufacturing Area,9009D,"1259 State Highway 60, Onekaka, Takaka",Nelson
The Sawmill Brewing Company Limited,The Sawmill Brewing Company Limited,Manufacturing Area,8277F,"1004 Leigh Road, Matakana",Auckland
The Theoretical Brewer Limited,The Theoretical Brewer Limited,Manufacturing Area,9313A,"52 Heta Road, New Plymouth",New Plymouth
The Victoria Store Brewery,Olivers Victoria Store Limited (The Victoria Store Brewery),Manufacturing Area,9082E,"34 Sunderland Street, Clyde",Dunedin
Thief Brewing Limited,Thief Brewing Limited (Thief Brewing),Manufacturing Area,12815F,"3/132 Ahuriri Road, Tai Tapu, Christchurch",Christchurch
Three Boys Brewery Limited,Three Boys Brewery Limited (Three Boys Brewery),Manufacturing Area,7801J,"592 Ferry Road, Woolston, Christchurch",Christchurch
Townshend Brewery,Townshend Brewery Limited (Townshend Brewery),Manufacturing Area,8324A,"Unit E, 502 High Street, Motueka, Nelson",Nelson
Townshend Brewery Limited,Townshend Brewery Limited,Off-site Storage Area,11463E,"202 Queen Victoria Street, Motueka, Nelson",Nelson
Two Thumb Brewing Company Limited,Two Thumb Brewing Company Limited,Manufacturing Area,12909H,"352 Manchester Street, Christchurch",Christchurch
Two Thumb Brewing Company Limited,Two Thumb Brewing Company Limited,Manufacturing Area,12292A,"380 Colombo Street, Christchurch",Christchurch
Urbanaut Brewing Co,Kingsland Brewing Company Limited,Manufacturing Area,9383B,"597 New North Road, Kingsland, Auckland",Auckland
Volstead Brewing Company,JBPP Limited (Volstead Brewing Company),Manufacturing Area,12799L,"55 Riccarton Road, Riccarton, Christchurch",Christchurch
Waiheke RSA,The Waiheke Returned Services' Association Incorporated (Waiheke RSA),Manufacturing Area,9374C,"29 Belgium Street, Waiheke Island",Auckland
Waitoa Social Club Limited,Waitoa Social Club Limited,Manufacturing Area,9977F,"32 Waitoa Road, Hataitai, Wellington",Wellington
West Lynn Brewing Company Limited,West Lynn Brewing Company Limited,Manufacturing Area,10166E,"Unit 89, 59 Sackville Street, Grey Lynn, Auckland",Auckland
Westside Brewery,Westside Company Limited,Manufacturing Area,11949A,"143 Te Atatu Road, Te Atatu South, Auckland",Auckland
Wigram Brewing Company Limited,Wigram Brewing Company Limited (Wigram Brewing Company),Manufacturing Area,7549D,"57 Sonter Road, Sockburn, Christchurch",Christchurch
Wilderness Brewing,Oliver Benjamin Drake (Wilderness Brewing),Manufacturing Area,10504L,"10 Mackenzie Avenue, Woolston, Christchurch",Christchurch
WK Advisors and Accountants Limited,WK Advisors and Accountants Limited,Manufacturing Area,12855E,"2 Alfred Street, Mayfield, Blenheim",Nelson
Woodstock Hotel,Trappers Limited (Woodstock Hotel),Manufacturing Area,11889D,"250 Woodstock Rimu Road, Hokitika",Christchurch
Workshop Brewing Company,Workshop Brewing Limited,Off-site Storage Area,12225E,"Unit 7, 2a Primrose Street, Raglan 3225",Tauranga
Workshop Brewing Company,Workshop Brewing Limited,Manufacturing Area,11104L,"2 Park Drive, Raglan",Tauranga
